id_x,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,tags,is_mature,game_box_art_url,id_y,profile_image_url,uptime_minutes,avg_viewers_30d,followers_gained_30d
319871282778,121059319,moonmoon,MOONMOON,1144717324,Gothic 1 Remake,live,da fanaly...? | difficulty = all hard | !recap1 through !recap8,9117,2026-06-16 22:21:58+00:00,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_moonmoon-{width}x{height}.jpg,[],['English'],False,https://static-cdn.jtvnw.net/ttv-boxart/1144717324_IGDB-150x200.jpg,121059319,https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-300x300.png,124.0,11253,206
318225489269,38244180,alanzoka,alanzoka,1144717324,Gothic 1 Remake,live,tentando terminar gothic -> amanhã jogo com os amigos,6323,2026-06-16 18:30:44+00:00,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_alanzoka-{width}x{height}.jpg,[],"['Idoso', 'Gostoso', 'Papai', 'Português']",False,https://static-cdn.jtvnw.net/ttv-boxart/1144717324_IGDB-150x200.jpg,38244180,https://static-cdn.jtvnw.net/jtv_user_pictures/64d44235-1dee-4bca-95da-bee1ee96eea3-profile_image-300x300.png,356.0,12500,18987
318141566039,27446144,fubgun,fubgun,1702520304,Path of Exile 2,live,"Build feels insane, Mirror !shop - !mb6 !hh4 - !atlas !discord !guide",5187,2026-06-16 13:30:13+00:00,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_fubgun-{width}x{height}.jpg,[],"['English', 'drops']",False,https://static-cdn.jtvnw.net/ttv-boxart/1702520304_IGDB-150x200.jpg,27446144,https://static-cdn.jtvnw.net/jtv_user_pictures/44690b71-d998-4d66-8f3a-b5d5acd372dc-profile_image-300x300.png,656.0,7994,28235
318141361879,20694610,towelliee,Towelliee,18122,World of Warcraft,live,✅!DROPS + 1 !SUB HAMMER BADGE!⚔️12.0.7 LIVE! NEW RAID BOSS + MORE POWA + NEW ZONES!⚔️!EBAY !ADV !CORSAIR⚔️,2728,2026-06-16 12:23:58+00:00,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_towelliee-{width}x{height}.jpg,[],"['tank', 'worldofwarcraft', 'entertainment', 'English', 'MMORPG', 'midnight', 'classicplus', 'wowmidnight', 'guildwars2', 'DropsEnabeled']",False,https://static-cdn.jtvnw.net/ttv-boxart/18122-150x200.jpg,20694610,https://static-cdn.jtvnw.net/jtv_user_pictures/towelliee-profile_image-f9752afc441702cc-300x300.jpeg,722.0,542,-873
319129609056,24124090,datmodz,DatModz,1702520304,Path of Exile 2,live,Starting the New Build + Softcore Trade Fresh Start - !Vaal Item + Zero to Mageblood Challenge,2216,2026-06-16 21:29:03+00:00,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_datmodz-{width}x{height}.jpg,[],"['AMA', 'English']",False,https://static-cdn.jtvnw.net/ttv-boxart/1702520304_IGDB-150x200.jpg,24124090,https://static-cdn.jtvnw.net/jtv_user_pictures/4eba575d-40ce-44bb-aaad-a7706d2cba78-profile_image-300x300.png,177.0,2161,889
315757373162,25575995,mathil1,Mathil1,1702520304,Path of Exile 2,live,"!Tornado melting the face off endgame, smooooth and buttery - the build you want your dad to know about - new build soonish tho?!?",1704,2026-06-16 17:55:37+00:00,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_mathil1-{width}x{height}.jpg,[],['English'],False,https://static-cdn.jtvnw.net/ttv-boxart/1702520304_IGDB-150x200.jpg,25575995,https://static-cdn.jtvnw.net/jtv_user_pictures/mathil1-profile_image-39376f797063a87b-300x300.jpeg,391.0,1996,1100
319871145434,35916854,alkaizerx,Alkaizerx,1702520304,Path of Exile 2,live,ssfhc fireman (✿ =‿‿=) !starforge !build,1594,2026-06-16 22:14:31+00:00,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_alkaizerx-{width}x{height}.jpg,[],['English'],False,https://static-cdn.jtvnw.net/ttv-boxart/1702520304_IGDB-150x200.jpg,35916854,https://static-cdn.jtvnw.net/jtv_user_pictures/alkaizerx-profile_image-17c30e4f21d2dd67-300x300.jpeg,132.0,1726,1816
318151785334,513443866,lanje_live,Lanje_Live,18122,World of Warcraft,live,[DROPS] 12.0.7 HOJE - FRONT PAGE TW - Temos a Melhor GUILDA Brasileira <3 - !guilda !youtube !discord !lore - 50k no youtube!,834,2026-06-16 12:08:22+00:00,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_lanje_live-{width}x{height}.jpg,[],"['Português', 'English', 'RPG', 'MMORPG', 'MMO', 'DropsAtivados']",False,https://static-cdn.jtvnw.net/ttv-boxart/18122-150x200.jpg,513443866,https://static-cdn.jtvnw.net/jtv_user_pictures/e920019c-5e92-4a44-ac1e-7d0c61b1aae2-profile_image-300x300.png,738.0,276,94
319002014814,25458544,sequisha,Sequisha,1702520304,Path of Exile 2,live,🏕️MERC Maps💱Brikt Items🧱⭕LOOT👑,833,2026-06-16 21:12:18+00:00,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sequisha-{width}x{height}.jpg,[],"['English', 'Solo', 'comedy']",False,https://static-cdn.jtvnw.net/ttv-boxart/1702520304_IGDB-150x200.jpg,25458544,https://static-cdn.jtvnw.net/jtv_user_pictures/71c9c370-aca6-4910-851b-5494c31a614a-profile_image-300x300.png,194.0,1178,-77
318145570903,73469143,sonii,SONII,18122,World of Warcraft,live,SoD FRESH?!?! || GW2??! | Are we finally back,776,2026-06-16 23:17:08+00:00,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_sonii-{width}x{height}.jpg,[],"['English', 'Hardcore', 'MMORPG', 'DropsEnabled']",False,https://static-cdn.jtvnw.net/ttv-boxart/18122-150x200.jpg,73469143,https://static-cdn.jtvnw.net/jtv_user_pictures/519d3141-adf3-48a5-acf2-848f0323b689-profile_image-300x300.png,69.0,440,2
315692910952,598287720,zorthas,zorthas,18122,World of Warcraft,live,SPOREFALL OUT. GOT WORLD 2ND IN PUG. exploring omnium folio now,745,2026-06-16 09:14:57+00:00,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_zorthas-{width}x{height}.jpg,[],"['English', 'Australian', 'Tomato', 'Shaman', 'DropsEnabled']",False,https://static-cdn.jtvnw.net/ttv-boxart/18122-150x200.jpg,598287720,https://static-cdn.jtvnw.net/jtv_user_pictures/f08746b8-bdae-42b2-93be-b4146f34f854-profile_image-300x300.png,911.0,280,188
317400127704,105936032,soulsobreezy,SoulSoBreezy,18122,World of Warcraft,live,!drops !tour SUPER OFFICIAL 12.0.7 Waiting Room! EU Visits - Coffee with Soul,636,2026-06-16 15:31:26+00:00,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_soulsobreezy-{width}x{height}.jpg,[],"['English', 'DropsEnabled']",False,https://static-cdn.jtvnw.net/ttv-boxart/18122-150x200.jpg,105936032,https://static-cdn.jtvnw.net/jtv_user_pictures/62bfbc36-614c-405f-9bf4-91594b0eab51-profile_image-300x300.png,535.0,96,193
